"306","276","A_2001"
"307","276","A_2002"
"308","277","A_4002"
"309","278","A_2001"
"310","279","A_1006"
"311","280","A_2002"
"312","281","A_2003"
"313","282","A_0000"
"315","283","A_2004"
"314","283","A_2006"
"316","284","A_5001"
"317","285","A_2004"
"318","286","A_2004"
"319","287","A_1006"
"320","288","A_3001"
"321","289","A_2004"
"322","290","A_2004"
"323","291","A_2004"
"324","292","A_0000"
"325","293","A_1006"
"326","294","U_9999"
"327","295","A_2006"
"328","296","A_0000"
"329","297","A_2004"
"330","298","A_2004"
"331","299","A_2004"
"332","300","A_2004"
"333","301","A_2004"
"334","302","A_2004"
"335","303","A_2002"
"336","304","A_2005"
"337","305","A_2004"
"338","306","A_2004"
"339","307","A_2004"
"340","308","A_2004"
"341","309","U_9999"
"343","310","A_2002"
"342","310","A_3003"
"344","311","A_2004"
"345","312","U_9999"
"346","313","A_2004"
"347","314","A_2002"
"348","315","A_2005"
"349","316","A_2006"
"350","316","A_3002"
"351","317","A_2001"
"352","317","A_2002"
"353","318","A_2006"
"354","318","A_3002"
