triggerword
call
attack
throw
launch
order
build
send
meet
agree
disagree
discuss
clash
fight
communicate
spread
share
arrest
buy
force
sign
assist
trade
commit
purchase
pay
finance
construct
attend
visit
block
prevent
recall
