activity_code,activity_desc
A_1,"Development Projects, Humanitarian Aid, & Other Non-Military Support"
A_2,Defense & Security
A_3,Diplomacy
A_4,"Economics, Trade, & Commercial"
A_5,Media & Information
U_9999,Does not fit the current coding scheme
