"55","2018-07-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_11","125",NULL,"E_1"
"56","2020-12-22",NULL,NULL,"CAF",NULL,"PARM",NULL,"D_16","122",NULL,"E_1"
"57","2017-07-05",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","127",NULL,"E_2"
"58","0009-11-28",NULL,NULL,"Port Sudan, Red Sea","A deal that Bashir proposed before his ousting.","PARM",NULL,"D_0","129","F_8","E_1"
"59","1600-01-01",NULL,NULL,NULL,NULL,"PARM","16","D_11","140","U_9999","E_1"
"60","2020-12-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_0","121","U_9999","E_1"
"61","2019-11-28",NULL,NULL,"Port Sudan, Red Sea",NULL,"PARM",NULL,"D_0","130","F_8","E_1"
"62","2999-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","141","F_8","E_1"
"63","0001-01-01",NULL,"2000000000.00",NULL,NULL,"PARM",NULL,"D_0","128",NULL,"E_2"
"64","2018-01-01",NULL,NULL,"CAR",NULL,"PARM",NULL,"D_11","134",NULL,"E_1"
"65","2020-02-24",NULL,NULL,NULL,NULL,"PARM",NULL,"D_2","147",NULL,"E_1"
"66","2018-01-01",NULL,NULL,"DRC",NULL,"PARM",NULL,"D_11","142",NULL,"E_1"
"67","2021-02-13",NULL,NULL,"Bangui",NULL,"PARM",NULL,"D_8","148","F_2","E_2"
"68","2019-08-16",NULL,NULL,"Bangui, Central African Republic",NULL,"PARM",NULL,"D_11","150","F_2","E_1"
"69","2018-01-11",NULL,NULL,NULL,NULL,"PARM",NULL,"D_10","143",NULL,"E_2"
"70","2018-08-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_11","151","F_2","E_1"
"71","2019-04-12",NULL,NULL,"Sudan","Really just a statement from the Russian government to support Sudan through the overthrow of Bashir.","PARM",NULL,"D_0","161","F_0","E_1"
"72","2018-01-11",NULL,NULL,"Kinshasa, DRC",NULL,"PARM",NULL,"D_11","144",NULL,"E_1"
"73","2019-01-11",NULL,NULL,"Unknown",NULL,"PARM",NULL,"D_8","149",NULL,"E_1"
"74","2019-10-30",NULL,NULL,NULL,"Facebook took down Russian-backed facebook networks linked to Yevgeny Prigozhin","PARM",NULL,"U_9999","160","U_9999","E_1"
"75","2019-04-12",NULL,NULL,"Sudan","A statement that was trying to usher along relations between the countries in a difficult situation. Not much set information because nothing tied to it.","PARM",NULL,"D_0","162","F_0","E_1"
"76","2019-01-01",NULL,NULL,"CAF",NULL,"PARM",NULL,"D_8","154","F_0","E_1"
"77","2021-02-24",NULL,"0.00","China",NULL,"PARM",NULL,"U_9999","163",NULL,"E_1"
"78","2020-03-29",NULL,NULL,"Latin America",NULL,"PARM",NULL,"D_13","167","F_2","E_2"
